_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sat May 13 19:32:00 UTC 2017	997.0	1.46069504E9	1.8267792E7	74.0	2.5206784E7	254069.5625	122.0	8.23799808E8	40815.890625	191.0	168.0	1.168236544E9	1.188900864E9	3686417.25	3649405.75	0.10824999958276749	0.23475000262260437	0.2397499978542328	0.351500004529953	0.830319344997406	600.0	42549.0	42757.0	2835.0	2879.0	12.0	4.0	0.0	0.0	3.47328995E8	3.26388012E8	8.1417376E7	9.6194559E7	8.3447865E7	8.0039261E7	1.13592944E8	6.1015203E7	6.1015203E7	8025281.0	6981464.0	
Sat May 13 19:31:00 UTC 2017	991.0	1.449988096E9	1.8070844E7	76.0	2.4399872E7	259337.984375	120.0	8.23529472E8	40858.89453125	191.0	167.0	1.168232448E9	1.188614144E9	3700014.5	3728084.0	0.09974999725818634	0.22949999570846558	0.25450000166893005	0.3644999861717224	0.8301525115966797	600.0	40914.0	41123.0	2523.0	2517.0	6.0	2.0	0.0	0.0	3.73899665E8	3.75355127E8	9.0885091E7	8.4600181E7	9.6756365E7	8.2652743E7	1.20936649E8	6.259286E7	6.259286E7	1.0560483E7	8249258.0	
Sat May 13 19:30:00 UTC 2017	994.0	1.432449024E9	1.8070844E7	75.0	2.51904E7	260576.03125	120.0	8.23185408E8	42194.87109375	192.0	170.0	1.16813824E9	1.18786048E9	3666656.25	null	0.09825000166893005	0.23524999618530273	0.23899999260902405	0.34975001215934753	0.8272046446800232	600.0	39338.0	39545.0	2133.0	2120.0	4.0	2.0	0.0	0.0	3.84261598E8	3.67741643E8	8.2455843E7	8.6661662E7	7.8953393E7	8.7231985E7	1.18653658E8	6.206661E7	6.206661E7	8657711.0	8021635.0	
Sat May 13 19:29:00 UTC 2017	995.0	1.455673344E9	1.8070844E7	76.0	2.4485888E7	260576.03125	124.0	8.23115776E8	42194.87109375	191.0	173.0	1.167429632E9	1.187848192E9	3666656.25	null	0.10975000262260437	0.22949999570846558	0.29499998688697815	0.35074999928474426	0.8318639993667603	531.0	37719.0	37917.0	1762.0	1752.0	4.0	1.0	0.0	0.0	3.83988009E8	3.58469406E8	8.9114465E7	9.2171706E7	9.5116564E7	8.5947956E7	1.18427033E8	6.2411076E7	6.2411076E7	8942037.0	6407153.0	
Sat May 13 19:28:00 UTC 2017	989.0	1.44707584E9	1.8070844E7	78.0	2.3871488E7	266773.40625	123.0	8.22919168E8	41493.2578125	185.0	173.0	1.167429632E9	1.188151296E9	3570056.75	null	0.09624999761581421	0.23774999380111694	0.5024999976158142	0.36125001311302185	0.828706681728363	531.0	36100.0	36288.0	1412.0	1420.0	3.0	1.0	0.0	0.0	3.51928533E8	3.24161162E8	8.8375872E7	7.721253E7	8.1813244E7	8.6791148E7	1.11831727E8	6.0194313E7	6.0194313E7	7631072.0	7644094.0	
Sat May 13 19:27:00 UTC 2017	988.0	1.46010112E9	1.8552998E7	77.0	2.5952256E7	260419.6875	122.0	8.22444032E8	36788.16796875	186.0	173.0	1.166659584E9	1.187835904E9	3637365.5	3687269.25	0.11249999701976776	0.22499999403953552	0.29499998688697815	0.35249999165534973	0.829849123954773	531.0	34438.0	34609.0	1122.0	1134.0	2.0	1.0	0.0	0.0	3.17628108E8	3.26489888E8	6.9317277E7	8.4480387E7	7.2210615E7	7.1071322E7	1.12520908E8	5.953612E7	5.953612E7	6999797.0	8590587.0	
Sat May 13 19:26:00 UTC 2017	991.0	1.458786304E9	1.7566544E7	73.0	2.5247744E7	254364.96875	126.0	8.21788672E8	36788.16796875	185.0	168.0	1.166659584E9	1.188851712E9	3410727.5	null	0.10050000250339508	0.22200000286102295	0.23925000429153442	0.35074999928474426	0.8298672437667847	501.0	32816.0	32973.0	838.0	841.0	2.0	0.0	0.0	0.0	3.2085212E8	3.36602414E8	9.2267914E7	9.0727054E7	8.2120667E7	8.1411713E7	1.17909132E8	6.0734259E7	6.0734259E7	8587215.0	7132183.0	
Sat May 13 19:25:00 UTC 2017	985.0	1.454051328E9	1.7566544E7	69.0	2.3609344E7	254364.96875	131.0	8.22181888E8	36788.16796875	175.0	169.0	1.166462976E9	1.188327424E9	3410727.5	null	0.13899999856948853	0.22824999690055847	0.2342499941587448	0.3395000100135803	0.8285031914710999	501.0	31193.0	31346.0	570.0	555.0	1.0	0.0	0.0	0.0	3.20113266E8	3.20180878E8	8.8171955E7	7.8675349E7	9.3339436E7	7.8747218E7	1.13238548E8	6.0551496E7	6.0551496E7	7277494.0	6851075.0	
Sat May 13 19:24:00 UTC 2017	941.0	1.455284224E9	1.7566544E7	71.0	2.36544E7	233394.984375	128.0	8.21198848E8	36788.16796875	177.0	170.0	1.164300288E9	1.185230848E9	2745289.75	3145267.25	0.09650000184774399	0.2214999943971634	0.2317499965429306	0.33524999022483826	0.8309236168861389	501.0	29541.0	29688.0	344.0	326.0	0.0	0.0	0.0	0.0	2.62585623E8	2.32377122E8	6.2929637E7	5.9282705E7	6.3414501E7	6.8753644E7	1.0142332E8	5.0039303E7	5.0039303E7	5590207.0	5877977.0	
Sat May 13 19:23:00 UTC 2017	948.0	1.418252288E9	1.6761447E7	65.0	2.4281088E7	233394.984375	128.0	8.2116608E8	36788.16796875	165.0	159.0	1.165418496E9	1.185890304E9	2745289.75	3145267.25	0.10724999755620956	0.2160000056028366	0.22824999690055847	0.33399999141693115	0.8243776559829712	429.0	27958.0	28085.0	206.0	207.0	0.0	0.0	0.0	0.0	2.35029691E8	2.1803937E8	6.4308127E7	6.3967268E7	5.8203457E7	5.5044812E7	1.0315086E8	5.1896602E7	5.1896602E7	5927594.0	5224137.0	
