_DATE,cpuusage_middle,memusage_middle,network_middle,cpuusage_server,memusage_server,network_server,cpuusage_cassandra,memusage_cassandra,network_cassandra,cpuusage_edge1,cpuusage_edge2,memusage_edge1,memusage_edge2,network_edge1,network_edge2,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_200_count2,status_500_count1,status_500_count2,status_0_count1,status_0_count2,status_other_count1,status_other_count2,percentile_viewfeedresponsetime_edge1,percentile_viewfeedresponsetime_edge2,percentile_addfeedresponsetime_edge1,percentile_addfeedresponsetime_edge2,percentile_deletefeedresponsetime_edge1,percentile_deletefeedresponsetime_edge2,percentile_fetch_middle,percentile_fetchfeeds_middle,percentile_fetchfeeds_middle,percentile_sub_middle,percentile_unsub_middle
Sun Apr 30 18:33:00 UTC 2017,539,1139937280,10613044,40,26750976,111084.453125,110,845529088,26498.33984375,98,92,1123872768,1132654592,2191757,,0.083250001072884,0.104249998927116,0.130999997258186,0.278750002384186,0.917068541049957,250,7766,7900,5,9,0,0,0,0,40499486,38502198,4726075,4103730,4606245,3900525,30770213,6754905,6754905,1829227,1743580
Sun Apr 30 18:32:00 UTC 2017,523,1139871744,9296945,36,26624000,63281.47265625,106,845324288,21592.291015625,87,78,1123958784,1132802048,1935170.625,,0.077500000596047,0.094750002026558,0.119999997317791,0.253500014543533,0.918788850307465,250,6785,6902,5,9,0,0,0,0,44962803,44384850,4425736,5115909,4759052,5308205,32897641,7398771,7398771,1646120,1785460
Sun Apr 30 18:31:00 UTC 2017,466,1140002816,7935515.5,34,27807744,63281.47265625,94,845193216,21671.05859375,81,80,1124044800,1133842432,1315172.25,,0.083250001072884,0.101750001311302,0.117250002920628,0.262499988079071,0.916912972927094,250,5915,6016,0,2,0,0,0,0,50143775,43076619,8548943,4145889,5590416,8564894,34014392,7064674,7064674,1581918,1848724
Sun Apr 30 18:30:00 UTC 2017,450,1140080640,7935515.5,32,25993216,63281.47265625,95,845279232,21671.05859375,74,76,1125048320,1133838336,1315172.25,,0.088500000536442,0.088500000536442,0.11150000244379,0.231250002980232,0.916727066040039,200,5108,5220,0,2,0,0,0,0,42318549,38512520,6308357,5257502,5098267,6311763,31969112,6611220,6611220,2009972,1965164
Sun Apr 30 18:29:00 UTC 2017,401,1139445760,6528002.5,27,27881472,63281.47265625,75,844972032,17030.263671875,59,62,1125060608,1133920256,1315172.25,,0.073250003159046,0.093999996781349,0.105750001966953,0.206750005483627,0.916459441184998,200,4325,4420,0,2,0,0,0,0,35134396,34646964,4787292,3650010,3775639,4599713,28170568,6155354,6155354,1522519,1759875
Sun Apr 30 18:28:00 UTC 2017,337,1140457472,6528002.5,26,26669056,63281.47265625,78,844873728,16870.41015625,59,60,1125064704,1134006272,1325770.875,,0.086750000715256,0.088500000536442,0.109250001609325,0.211999997496605,0.916173696517944,200,3640,3746,0,0,0,0,0,0,49587598,38974585,10091849,5072481,6881739,4979992,30560140,6317732,6317732,1638603,1890854
Sun Apr 30 18:27:00 UTC 2017,330,1140285440,5605574,23,27131904,63281.47265625,73,844386304,16870.41015625,55,56,1125056512,1134092288,937467,,0.074500001966953,0.084250003099442,0.10275000333786,0.190500006079674,0.915852248668671,150,3041,3140,0,0,0,0,0,0,37776040,38110411,4455329,5017071,3636687,5113828,29073170,5929079,5929079,1527000,1566465
Sun Apr 30 18:26:00 UTC 2017,288,1140092928,4296380,17,26488832,45955.06640625,58,844423168,11674.4111328125,43,38,1126129664,1134305280,937467,,0.081000000238419,0.075000002980232,0.078500002622604,0.155499994754791,0.915612995624542,150,2441,2536,0,0,0,0,0,0,37699654,35015848,4633750,4751636,8982857,3528235,27853380,5703010,5703010,1441643,1571474
Sun Apr 30 18:25:00 UTC 2017,221,1140568064,248172.578125,16,25362432,45955.06640625,57,844148736,11657.7392578125,41,36,1126268928,1134325760,368372.1875,,0.10275000333786,0.077249996364117,0.086249999701977,0.160249993205071,0.915240168571472,150,1963,2045,0,0,0,0,0,0,48765172,47607148,9336185,13215833,25110135,6465364,33074924,5860883,5860883,1474726,1380896
Sun Apr 30 18:24:00 UTC 2017,212,1139896320,248172.578125,14,24670208,38944.65234375,53,843882496,6303.3740234375,37,32,1125359616,1134407680,368372.1875,,0.072250001132488,0.081249997019768,0.081500001251698,0.137250006198883,0.923855721950531,100,1570,1647,0,0,0,0,0,0,57986567,41604619,20973785,12525917,12528141,17467053,31374270,5512420,5512420,1445891,1528821
