_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Mon May 15 00:18:00 UTC 2017	975.0	1.239625728E9	1.7681514E7	69.0	2.4252416E7	237133.65625	128.0	7.76187904E8	36421.8828125	182.0	163.0	1.228161024E9	1.228546048E9	3459969.5	null	0.11050000041723251	0.21699999272823334	0.2290000021457672	0.3395000100135803	0.8037807941436768	478.0	30565.0	30764.0	374.0	355.0	0.0	0.0	0.0	0.0	2.80887996E8	3.00329613E8	7.6749593E7	6.6004103E7	8.8517299E7	8.239543E7	1.08493815E8	5.8513167E7	5.8513167E7	6582807.0	6701431.0	
Mon May 15 00:17:00 UTC 2017	936.0	1.209491456E9	1.7024178E7	67.0	2.2757376E7	237133.65625	129.0	7.75520256E8	36421.8828125	175.0	152.0	1.225682944E9	1.226080256E9	3459969.5	null	0.09449999779462814	0.22474999725818634	0.22875000536441803	0.33024999499320984	0.8003226518630981	478.0	28859.0	29012.0	220.0	214.0	0.0	0.0	0.0	0.0	2.3212692E8	2.29155045E8	6.2517616E7	6.3500399E7	6.1048894E7	5.6305961E7	1.01079576E8	5.2688847E7	5.2688847E7	5860873.0	4738599.0	
Mon May 15 00:16:00 UTC 2017	892.0	1.246183424E9	1.3995954E7	65.0	2.3478272E7	220721.890625	124.0	7.7520896E8	36421.8828125	179.0	155.0	1.22558464E9	1.226149888E9	3459969.5	null	0.10199999809265137	0.21525000035762787	0.21525000035762787	0.3227500021457672	0.8044633269309998	405.0	27328.0	27482.0	123.0	126.0	0.0	0.0	0.0	0.0	1.85948738E8	1.84308849E8	5.1176681E7	5.4575442E7	5.1451623E7	4.8710352E7	9.5245741E7	3.3947949E7	3.3947949E7	4043672.0	4620070.0	
Mon May 15 00:15:00 UTC 2017	894.0	1.225805824E9	1.3995954E7	61.0	2.4088576E7	220721.890625	125.0	7.75114752E8	36421.8828125	168.0	137.0	1.225621504E9	1.226203136E9	3459969.5	null	0.12274999916553497	0.19875000417232513	0.21074999868869781	0.31450000405311584	0.8037088513374329	405.0	25788.0	25917.0	80.0	85.0	0.0	0.0	0.0	0.0	1.69983495E8	1.90636344E8	5.3507833E7	5.1761813E7	5.3351336E7	5.4249442E7	9.5408148E7	3.8400277E7	3.8400277E7	4036742.0	3914061.0	
Mon May 15 00:14:00 UTC 2017	851.0	1.237905408E9	1.3995954E7	58.0	2.248704E7	220721.890625	122.0	7.74602752E8	34985.1953125	157.0	132.0	1.225465856E9	1.225609216E9	3222488.0	2977941.25	0.10175000131130219	0.19949999451637268	0.20499999821186066	0.2982499897480011	0.8057863116264343	405.0	24232.0	24369.0	47.0	52.0	0.0	0.0	0.0	0.0	1.1334442E8	1.27482844E8	3.9663752E7	4.3487295E7	4.3302102E7	3.89952E7	8.3816525E7	1.800056E7	1.800056E7	3223705.0	3409257.0	
Mon May 15 00:13:00 UTC 2017	798.0	1.11566848E9	1.3995954E7	57.0	2.3252992E7	204417.71875	121.0	7.74279168E8	34781.75390625	158.0	134.0	1.225408512E9	1.225179136E9	3127412.75	2977941.25	0.09700000286102295	0.20200000703334808	0.20149999856948853	0.2930000126361847	0.7932252883911133	352.0	22826.0	22965.0	33.0	36.0	0.0	0.0	0.0	0.0	9.3990728E7	9.093759E7	2.9890609E7	2.6572746E7	2.729988E7	3.2517876E7	7.1509964E7	1.1330033E7	1.1330033E7	2458858.0	2530182.0	
Mon May 15 00:12:00 UTC 2017	796.0	1.173139456E9	1.3995954E7	54.0	2.3334912E7	204417.71875	120.0	7.73881856E8	31769.392578125	146.0	125.0	1.22607616E9	1.225424896E9	2975350.75	null	0.1054999977350235	0.19425000250339508	0.21125000715255737	0.289249986410141	0.7972901463508606	352.0	21447.0	21587.0	28.0	32.0	0.0	0.0	0.0	0.0	8.9462073E7	8.9561377E7	2.7805095E7	2.859195E7	3.2559754E7	2.6673501E7	6.7217881E7	1.0462297E7	1.0462297E7	2792073.0	2919263.0	
Mon May 15 00:11:00 UTC 2017	749.0	1.242046464E9	1.3995954E7	53.0	2.3441408E7	203259.953125	113.0	7.7357056E8	31769.392578125	146.0	122.0	1.225678848E9	1.225392128E9	2975350.75	null	0.09724999964237213	0.1977500021457672	0.2032500058412552	0.2747499942779541	0.803427517414093	352.0	20050.0	20201.0	25.0	28.0	0.0	0.0	0.0	0.0	9.4759777E7	9.2936884E7	2.8255434E7	2.6373082E7	2.0841193E7	2.8398684E7	6.5858727E7	1.0167702E7	1.0167702E7	2695640.0	2501129.0	
Mon May 15 00:10:00 UTC 2017	732.0	1.023545344E9	1.3995954E7	53.0	2.2450176E7	195961.515625	115.0	7.73517312E8	31681.666015625	142.0	125.0	1.225043968E9	1.225392128E9	2421850.0	2252482.25	0.09200000017881393	0.1887499988079071	0.19175000488758087	0.2847500145435333	0.7764794826507568	314.0	18814.0	18952.0	15.0	19.0	0.0	0.0	0.0	0.0	1.02887023E8	1.15601928E8	3.3919114E7	3.9302589E7	3.433486E7	3.3748473E7	8.0065906E7	1.125073E7	1.125073E7	2690427.0	2839829.0	
Mon May 15 00:09:00 UTC 2017	723.0	1.085181952E9	1.3909043E7	53.0	2.1745664E7	196928.484375	114.0	7.7320192E8	31681.666015625	143.0	120.0	1.22519552E9	1.225355264E9	2421850.0	2252482.25	0.10199999809265137	0.18250000476837158	0.1850000023841858	0.2737500071525574	0.7841987013816833	314.0	17561.0	17711.0	10.0	14.0	0.0	0.0	0.0	0.0	6.785948E7	7.2804332E7	1.5288976E7	8019566.0	7085003.0	1.0867815E7	5.0624943E7	8140210.0	8140210.0	2078448.0	1804813.0	
