sep=;
Time;95th;50th;25th
2017-04-30T15:20:00.000Z;87037575;16410977;11283957
2017-04-30T15:21:00.000Z;89697764;14103628;10221285
2017-04-30T15:22:00.000Z;87829695;12499563;8045484
2017-04-30T15:23:00.000Z;85630054;16130576;12257951
2017-04-30T15:24:00.000Z;86843548;15675525;9994897
2017-04-30T15:25:00.000Z;78988315;11961806;6712175
2017-04-30T15:26:00.000Z;77599801;14644787;10751742
2017-04-30T15:27:00.000Z;78825672;15765441;10822648
2017-04-30T15:28:00.000Z;42342796;12945889;8164492
2017-04-30T15:29:00.000Z;41670621;16249779;11838273
2017-04-30T15:30:00.000Z;43376765;16583863;11861764
2017-04-30T15:31:00.000Z;33695427;13757808;9412858
2017-04-30T15:32:00.000Z;37294291;15255384;11173471
2017-04-30T15:33:00.000Z;43543679;15793947;11539795
2017-04-30T15:34:00.000Z;34432634;14556049;10233478
2017-04-30T15:35:00.000Z;36675635;15669872;11495574
2017-04-30T15:36:00.000Z;39568818;15762135;11461523
2017-04-30T15:37:00.000Z;35693783;15455862;10727178
2017-04-30T15:38:00.000Z;38920873;16520090;12092140
2017-04-30T15:39:00.000Z;44916718;17232311;12638402
2017-04-30T15:40:00.000Z;47551763;17492210;12091318
2017-04-30T15:41:00.000Z;47329923;17687823;12608248
2017-04-30T15:42:00.000Z;67412567;19824502;14299856
2017-04-30T15:43:00.000Z;67762210;19297689;13019684
2017-04-30T15:44:00.000Z;81390854;20199343;14044682
2017-04-30T15:45:00.000Z;79331093;19778201;13655286
2017-04-30T15:46:00.000Z;93282234;20963305;14112561
2017-04-30T15:47:00.000Z;109519171;24074411;16347095
2017-04-30T15:48:00.000Z;112985828;25509411;16266777
2017-04-30T15:49:00.000Z;169266486;38473521;18675166
2017-04-30T15:50:00.000Z;199335607;58530646;23257641
2017-04-30T15:51:00.000Z;192889771;62261797;26040869
2017-04-30T15:52:00.000Z;203383483;74883026;31221827
2017-04-30T15:53:00.000Z;212218544;78143095;32178139
2017-04-30T15:54:00.000Z;210760199;77243445;31340287
2017-04-30T15:55:00.000Z;null;null;null
2017-04-30T15:56:00.000Z;71969813;5547689;4224456
2017-04-30T15:57:00.000Z;96681037;11799842;6803499
2017-04-30T15:58:00.000Z;58299271;17055558;11828149
2017-04-30T15:59:00.000Z;86184896;10924742;8786476
2017-04-30T16:00:00.000Z;92577745;16411652;11790978
2017-04-30T16:01:00.000Z;89313639;18218866;15982963
2017-04-30T16:02:00.000Z;96646527;15828785;10068545
2017-04-30T16:03:00.000Z;92791009;16117008;11551561
2017-04-30T16:04:00.000Z;88339392;16893451;10804723
2017-04-30T16:05:00.000Z;78283112;13328872;8179442
2017-04-30T16:06:00.000Z;95723838;16943236;12947071
2017-04-30T16:07:00.000Z;93282894;19646578;14620898
2017-04-30T16:08:00.000Z;80987528;13373953;6394291
2017-04-30T16:09:00.000Z;79103493;14698785;9879539
2017-04-30T16:10:00.000Z;81676403;15669072;11260119
2017-04-30T16:11:00.000Z;50082530;12708358;6793315
2017-04-30T16:12:00.000Z;40204150;14672031;10504568
2017-04-30T16:13:00.000Z;48812421;15305795;11385663
2017-04-30T16:14:00.000Z;38777725;14288568;8787079
2017-04-30T16:15:00.000Z;34467699;15047224;11163645
2017-04-30T16:16:00.000Z;35894078;15748594;11684396
2017-04-30T16:17:00.000Z;38680473;15412345;10449522
2017-04-30T16:18:00.000Z;36596509;15730566;11397758
2017-04-30T16:19:00.000Z;38205526;17401315;13043819
2017-04-30T16:20:00.000Z;38013995;15795625;10667085
2017-04-30T16:21:00.000Z;40465490;16621215;11871284
2017-04-30T16:22:00.000Z;45815534;17627680;12867921
2017-04-30T16:23:00.000Z;44153304;16838055;11788254
2017-04-30T16:24:00.000Z;53865393;17913552;12906520
2017-04-30T16:25:00.000Z;49959975;17443876;12538115
2017-04-30T16:26:00.000Z;59442390;17523166;12069963
2017-04-30T16:27:00.000Z;72379543;19421069;13687405
2017-04-30T16:28:00.000Z;76200412;20594658;14458993
2017-04-30T16:29:00.000Z;82427210;19891275;13380715
2017-04-30T16:30:00.000Z;98647200;21399778;13873875
2017-04-30T16:31:00.000Z;104122662;23182168;15391053
2017-04-30T16:32:00.000Z;171402423;30432766;16539088
2017-04-30T16:33:00.000Z;177519597;45022755;20846300
2017-04-30T16:34:00.000Z;189710336;61117465;25019295
2017-04-30T16:35:00.000Z;196938208;60514976;24796290
2017-04-30T16:36:00.000Z;199622374;71989202;28293785
2017-04-30T16:37:00.000Z;211007072;79673760;35139284
2017-04-30T16:38:00.000Z;205872684;77960503;30725862
2017-04-30T16:39:00.000Z;19626220;1961852;1662001
2017-04-30T16:40:00.000Z;96804184;9132805;6302815
2017-04-30T16:41:00.000Z;92177515;15930590;11028236
2017-04-30T16:42:00.000Z;99628007;15908354;11487218
2017-04-30T16:43:00.000Z;89347795;15264917;10548587
2017-04-30T16:44:00.000Z;84975160;16842822;13740532
2017-04-30T16:45:00.000Z;102862419;16198942;12507212
2017-04-30T16:46:00.000Z;75432233;12563176;8437159
2017-04-30T16:47:00.000Z;88640498;15859061;10550566
2017-04-30T16:48:00.000Z;90236901;19806645;14918701
2017-04-30T16:49:00.000Z;87155905;16508947;9280892
2017-04-30T16:50:00.000Z;89916779;18864808;13618439
2017-04-30T16:51:00.000Z;86280233;15011207;8717099
2017-04-30T16:52:00.000Z;75313332;11846828;6625428
2017-04-30T16:53:00.000Z;85531423;15025049;11110746
2017-04-30T16:54:00.000Z;68237935;14906859;8962521
2017-04-30T16:55:00.000Z;49157643;13764025;8608841
2017-04-30T16:56:00.000Z;46085455;16296853;11780693
2017-04-30T16:57:00.000Z;42680694;15994089;11653845
2017-04-30T16:58:00.000Z;35256127;13847143;9223619
2017-04-30T16:59:00.000Z;37582083;15832166;11607183
2017-04-30T17:00:00.000Z;38819679;15898682;11926941
