_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	network_edge2	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count3	status_500_count1	status_500_count3	status_0_count1	status_0_count3	status_other_count1	status_other_count3	percentile_viewfeedresponsetime_edge	percentile_addfeedresponsetime_edge	percentile_deletefeedresponsetime_edge	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	cpuusage_stress1	cpuusage_stress10	cpuusage_stress11	cpuusage_stress2	cpuusage_stress3	cpuusage_stress4	cpuusage_stress5	cpuusage_stress6	cpuusage_stress7	cpuusage_stress8	cpuusage_stress9	
Fri Jun 02 17:08:00 UTC 2017	1.0	1.082683392E9	2920.510986328125	0.0	2.5399296E7	0.0	3.0	5.56679168E8	48.79185485839844	0.0	0.0	5.51141376E8	4.8340992E8	0.0	0.0	0.06650000065565109	0.04675000160932541	0.04724999889731407	0.9879999756813049	0.6443480849266052	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	332.0	335.0	335.0	335.0	334.0	332.0	333.0	333.0	334.0	335.0	332.0	
Fri Jun 02 17:07:00 UTC 2017	1.0	1.08167168E9	2920.510986328125	0.0	2.6406912E7	0.0	4.0	5.56679168E8	48.79185485839844	0.0	0.0	5.522432E8	4.8340992E8	0.0	0.0	0.07625000178813934	0.04699999839067459	0.04399999976158142	0.9900000095367432	0.6436508893966675	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	335.0	331.0	331.0	336.0	334.0	334.0	331.0	333.0	333.0	332.0	330.0	
Fri Jun 02 17:06:00 UTC 2017	1.0	1.082683392E9	2920.510986328125	0.0	2.6406912E7	0.0	5.0	5.56675072E8	48.79185485839844	0.0	0.0	5.51317504E8	4.83495936E8	0.0	0.0	0.07400000095367432	0.04924999922513962	0.048500001430511475	0.9902499914169312	0.6459235548973083	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	338.0	337.0	334.0	334.0	334.0	334.0	336.0	330.0	337.0	332.0	333.0	
Fri Jun 02 17:05:00 UTC 2017	1.0	1.08167168E9	2920.510986328125	0.0	2.5399296E7	0.0	2.0	5.56531712E8	35.977500915527344	0.0	0.0	5.52419328E8	4.83586048E8	0.0	0.0	0.07074999809265137	0.05700000002980232	0.05375000089406967	0.9915000200271606	0.6436469554901123	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	332.0	335.0	337.0	335.0	335.0	335.0	332.0	335.0	332.0	338.0	332.0	
Fri Jun 02 17:04:00 UTC 2017	0.0	1.082683392E9	2920.510986328125	0.0	2.5399296E7	0.0	3.0	5.564416E8	35.977500915527344	0.0	0.0	5.51497728E8	4.8367616E8	0.0	0.0	0.07750000059604645	0.04399999976158142	0.04774999991059303	0.9915000200271606	0.6449978351593018	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	338.0	332.0	332.0	334.0	333.0	335.0	335.0	334.0	335.0	331.0	334.0	
Fri Jun 02 17:03:00 UTC 2017	0.0	1.08167168E9	2920.510986328125	0.0	2.6406912E7	0.0	2.0	5.564416E8	35.977500915527344	0.0	0.0	5.52599552E8	4.83766272E8	0.0	0.0	0.06975000351667404	0.05649999901652336	0.04374999925494194	0.9909999966621399	0.6436043977737427	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	331.0	338.0	336.0	333.0	337.0	330.0	337.0	336.0	333.0	337.0	335.0	
Fri Jun 02 17:02:00 UTC 2017	1.0	1.082683392E9	2920.510986328125	0.0	2.6406912E7	0.0	3.0	5.564416E8	35.977500915527344	0.0	0.0	5.51677952E8	4.83864576E8	0.0	0.0	0.07275000214576721	0.04774999991059303	0.04899999871850014	0.9825000166893005	0.6435872912406921	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	331.0	330.0	328.0	330.0	330.0	330.0	331.0	330.0	332.0	330.0	333.0	
Fri Jun 02 17:01:00 UTC 2017	1.0	1.08167168E9	2920.510986328125	0.0	2.6406912E7	0.0	3.0	5.564416E8	35.977500915527344	0.0	0.0	5.5277568E8	4.83954688E8	0.0	0.0	0.09749999642372131	0.04774999991059303	0.048500001430511475	0.9917500019073486	0.6435799598693848	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	333.0	330.0	332.0	336.0	336.0	337.0	332.0	333.0	334.0	335.0	331.0	
Fri Jun 02 17:00:00 UTC 2017	1.0	1.08167168E9	2892.7919921875	0.0	2.6406912E7	0.0	2.0	5.56306432E8	56.40457534790039	0.0	0.0	5.5185408E8	4.840448E8	0.0	0.0	0.07699999958276749	0.04699999839067459	0.05000000074505806	0.9892500042915344	0.6435525417327881	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	333.0	336.0	337.0	333.0	331.0	335.0	336.0	334.0	334.0	333.0	337.0	
Fri Jun 02 16:59:00 UTC 2017	1.0	1.081667584E9	2854.1962890625	0.0	2.6406912E7	0.0	2.0	5.5621632E8	56.40457534790039	0.0	0.0	5.52955904E8	4.84134912E8	0.0	0.0	0.06875000149011612	0.05575000122189522	0.04500000178813934	0.9912499785423279	0.6435486078262329	0.0	0.0	0.0	2298.0	2372.0	0.0	0.0	0.0	0.0	null	null	null	null	null	null	null	null	333.0	331.0	334.0	334.0	335.0	333.0	330.0	329.0	333.0	332.0	331.0	
