_DATE	cpuusage_middle	memusage_middle	network_middle	cpuusage_server	memusage_server	network_server	cpuusage_cassandra	memusage_cassandra	network_cassandra	cpuusage_edge1	cpuusage_edge2	memusage_edge1	memusage_edge2	network_edge1	nodecpu61	nodecpu62	nodecpu63	nodecpu64	nodemem64	locustusers	status_200_count1	status_200_count2	status_500_count1	status_500_count2	status_0_count1	status_0_count2	status_other_count1	status_other_count2	percentile_viewfeedresponsetime_edge1	percentile_viewfeedresponsetime_edge2	percentile_addfeedresponsetime_edge1	percentile_addfeedresponsetime_edge2	percentile_deletefeedresponsetime_edge1	percentile_deletefeedresponsetime_edge2	percentile_fetch_middle	percentile_fetchfeeds_middle	percentile_fetchfeeds_middle	percentile_sub_middle	percentile_unsub_middle	
Sat May 13 07:48:00 UTC 2017	945.0	1.479135232E9	1.7601382E7	67.0	2.3564288E7	251626.15625	130.0	8.88684544E8	40194.9296875	194.0	141.0	1.114574848E9	1.116004352E9	3716185.25	0.10199999809265137	0.21275000274181366	0.2240000069141388	0.32350000739097595	0.8245288133621216	443.0	34062.0	34140.0	250.0	246.0	0.0	0.0	0.0	0.0	2.56774477E8	2.24921803E8	6.1775087E7	6.2736172E7	5.8963906E7	5.7307598E7	1.03798144E8	5.3941273E7	5.3941273E7	4979653.0	4839643.0	
Sat May 13 07:47:00 UTC 2017	913.0	1.478078464E9	1.5711692E7	68.0	2.516992E7	254831.03125	130.0	8.8815616E8	38758.59375	184.0	138.0	1.113247744E9	1.115938816E9	3716185.25	0.1120000034570694	0.2160000056028366	0.22599999606609344	0.34275001287460327	0.8247627019882202	443.0	32399.0	32474.0	169.0	168.0	0.0	0.0	0.0	0.0	1.7383903E8	1.71009124E8	5.4996682E7	4.4683377E7	4.8588721E7	5.0727801E7	9.1045622E7	3.3211739E7	3.3211739E7	4558084.0	4496571.0	
Sat May 13 07:46:00 UTC 2017	907.0	1.463443456E9	1.5711692E7	64.0	2.3527424E7	243931.890625	132.0	8.87844864E8	38758.59375	182.0	136.0	1.112322048E9	1.116004352E9	3716185.25	0.09799999743700027	0.21574999392032623	0.22425000369548798	0.31850001215934753	0.8241149187088013	400.0	30820.0	30928.0	135.0	119.0	0.0	0.0	0.0	0.0	1.69606543E8	1.76442645E8	5.1647721E7	5.0844001E7	4.7465565E7	4.7540739E7	9.2029611E7	3.6759905E7	3.6759905E7	4856348.0	4753224.0	
Sat May 13 07:45:00 UTC 2017	878.0	1.47656704E9	1.5711692E7	60.0	2.1979136E7	217084.90625	126.0	8.87672832E8	30089.849609375	170.0	128.0	1.11245312E9	1.115959296E9	3405242.5	0.1237500011920929	0.20100000500679016	0.2070000022649765	0.30149999260902405	0.823744535446167	400.0	29282.0	29378.0	102.0	91.0	0.0	0.0	0.0	0.0	1.60619828E8	1.39438905E8	4.5179239E7	4.509926E7	5.130517E7	4.804354E7	8.9704461E7	2.0911881E7	2.0911881E7	4065642.0	3540779.0	
Sat May 13 07:44:00 UTC 2017	818.0	1.47697664E9	1.5484289E7	58.0	2.1962752E7	217084.90625	123.0	8.87296E8	30089.849609375	168.0	122.0	1.111621632E9	1.11603712E9	3413513.0	0.10374999791383743	0.20149999856948853	0.20125000178813934	0.30649998784065247	0.8248077034950256	400.0	27737.0	27843.0	75.0	64.0	0.0	0.0	0.0	0.0	9.1946451E7	9.9053335E7	3.0062861E7	3.3548011E7	3.5352034E7	3.0685152E7	7.1864955E7	1.1739323E7	1.1739323E7	3058876.0	2666527.0	
Sat May 13 07:43:00 UTC 2017	801.0	1.474359296E9	1.5284685E7	57.0	2.197504E7	217084.90625	123.0	8.8715264E8	30089.849609375	161.0	121.0	1.11167488E9	1.11618048E9	3060804.5	0.0989999994635582	0.19325000047683716	0.22175000607967377	0.296750009059906	0.8228021860122681	342.0	26363.0	26469.0	63.0	52.0	0.0	0.0	0.0	0.0	9.5586058E7	9.4634332E7	3.0372353E7	3.4741307E7	2.4004699E7	2.4638438E7	7.1115446E7	1.0912622E7	1.0912622E7	2179965.0	2256899.0	
Sat May 13 07:42:00 UTC 2017	793.0	1.474719744E9	1.342992E7	53.0	2.3445504E7	188853.703125	117.0	8.8653824E8	30089.849609375	149.0	111.0	1.112682496E9	1.115656192E9	3060804.5	0.0949999988079071	0.1887499988079071	0.19075000286102295	0.2782500088214874	0.8229988813400269	342.0	25021.0	25122.0	55.0	49.0	0.0	0.0	0.0	0.0	9.5259136E7	9.3317537E7	3.4130866E7	2.8691133E7	2.7409975E7	2.5476748E7	7.0344408E7	1.1040784E7	1.1040784E7	2670847.0	2417405.0	
Sat May 13 07:41:00 UTC 2017	729.0	1.397522432E9	1.342992E7	51.0	2.2679552E7	188853.703125	113.0	8.863744E8	30089.849609375	142.0	106.0	1.112793088E9	1.115803648E9	2926008.0	0.09775000065565109	0.18025000393390656	0.1822499930858612	0.2697499990463257	0.8137648701667786	342.0	23674.0	23783.0	50.0	45.0	0.0	0.0	0.0	0.0	9.0374175E7	8.4588686E7	2.1563746E7	2.1546591E7	2.6491774E7	1.3817844E7	6.2911437E7	9284421.0	9284421.0	2407035.0	2302446.0	
Sat May 13 07:40:00 UTC 2017	694.0	1.437536256E9	1.3155007E7	50.0	2.1352448E7	191905.609375	113.0	8.86222848E8	30089.849609375	142.0	107.0	1.1128832E9	1.115951104E9	2843614.5	0.09650000184774399	0.1875	0.18400000035762787	0.2669999897480011	0.8171912431716919	303.0	22459.0	22554.0	37.0	42.0	0.0	0.0	0.0	0.0	7.512036E7	7.3303344E7	1.290229E7	2.1467753E7	1.0143132E7	1.1020473E7	5.6868752E7	8425646.0	8425646.0	2063151.0	2507783.0	
Sat May 13 07:39:00 UTC 2017	687.0	1.43722496E9	1.3155007E7	49.0	2.199552E7	185443.09375	109.0	8.85764096E8	30089.849609375	140.0	103.0	1.111977984E9	1.11601664E9	2843614.5	0.10724999755620956	0.1782499998807907	0.18125000596046448	0.2627499997615814	0.8165630102157593	303.0	21264.0	21340.0	37.0	40.0	0.0	0.0	0.0	0.0	7.1166149E7	7.4581574E7	1.0073571E7	1.7468739E7	9306906.0	1.1214321E7	4.6509663E7	8041164.0	8041164.0	2107383.0	1871293.0	
