_DATE,cpuusage_middle,memusage_middle,network_middle,cpuusage_server,memusage_server,network_server,cpuusage_cassandra,memusage_cassandra,network_cassandra,cpuusage_edge1,cpuusage_edge2,memusage_edge1,memusage_edge2,network_edge1,,nodecpu61,nodecpu62,nodecpu63,nodecpu64,nodemem64,locustusers,status_200_count1,status_200_count2,status_500_count1,status_500_count2,status_0_count1,status_0_count2,status_other_count1,status_other_count2,percentile_viewfeedresponsetime_edge1,percentile_viewfeedresponsetime_edge2,percentile_addfeedresponsetime_edge1,percentile_addfeedresponsetime_edge2,percentile_deletefeedresponsetime_edge1,percentile_deletefeedresponsetime_edge2,percentile_fetch_middle,percentile_fetchfeeds_middle,percentile_fetchfeeds_middle,percentile_sub_middle,percentile_unsub_middle
Sun Apr 30 21:42:00 UTC 2017,980,1223270400,20226934,83,31248384,220609.859375,151,884281344,46235.85546875,179,182,1127591936,1142169600,4016325.5,,0.092000000178814,0.133499994874001,0.200249999761581,0.474249988794327,0.919102966785431,600,29848,29883,678,672,1,1,0,0,209942356,206415304,117889784,114165386,114494243,100677717,134247589,56578079,56578079,7711497,6784305
Sun Apr 30 21:41:00 UTC 2017,982,1222582272,20226934,83,31920128,220559.015625,144,883838976,45665.625,176,183,1129349120,1141886976,4016325.5,,0.097999997437,0.125499993562698,0.190999999642372,0.46900001168251,0.929506301879883,600,28027,28082,523,487,0,0,0,0,197925268,195861999,94686425,96720499,97547694,85947375,120941224,56034696,56034696,6140357,4871109
Sun Apr 30 21:40:00 UTC 2017,976,1222393856,18831716,83,30445568,220559.015625,143,883351552,45596.48828125,182,180,1129345024,1141850112,3884682.75,,0.105499997735024,0.135000005364418,0.200499996542931,0.472250014543533,0.929322361946106,600,26188,26255,382,360,0,0,0,0,197230001,199300300,99066340,98185678,85082964,80944622,117850272,54925169,54925169,5952569,5612899
Sun Apr 30 21:39:00 UTC 2017,978,1222828032,18831716,77,30334976,203600.953125,155,883019776,46007.078125,176,173,1128349696,1141829632,3884682.75,,0.096000000834465,0.126499995589256,0.200249999761581,0.449499994516373,0.929050803184509,500,24380,24438,225,220,0,0,0,0,199290323,197041411,106774840,82945245,93412825,87830375,123272845,55359993,55359993,5504254,5332687
Sun Apr 30 21:38:00 UTC 2017,934,1222537216,16749940,71,28815360,187914.9375,142,882454528,38832.16796875,164,154,1127329792,1138679808,3651203.75,,0.095499999821186,0.124750003218651,0.173749998211861,0.427249997854233,0.928097248077393,500,22527,22584,125,105,0,0,0,0,162927810,164379253,60727794,52910132,64529325,52977280,106333393,46548106,46548106,4701410,4949832
Sun Apr 30 21:37:00 UTC 2017,877,1222443008,16749940,71,28176384,187914.9375,149,882196480,38941.33984375,159,155,1125576704,1138823168,3562235.25,,0.098499998450279,0.128000006079674,0.187250003218651,0.420249998569488,0.928056597709656,500,20868,20888,49,42,0,0,0,0,117578888,118704490,43093806,39916396,34214282,38184220,93309083,29048267,29048267,3912653,3265068
Sun Apr 30 21:36:00 UTC 2017,864,1222443008,16749940,66,28782592,177310.484375,140,881881088,39138.421875,159,142,1126719488,1138966528,3562235.25,,0.09375,0.120999999344349,0.168999999761581,0.409750014543533,0.927824676036835,400,19304,19325,37,36,0,0,0,0,114938406,117274597,33159593,41554121,35129402,36338961,91793619,25947241,25947241,3527119,3453084
Sun Apr 30 21:35:00 UTC 2017,837,1222475776,15462723,61,27262976,166319.875,134,881528832,35684.98828125,147,127,1126895616,1138208768,3220261.5,,0.114500001072884,0.124499998986721,0.184499993920326,0.387250006198883,0.927632391452789,400,17743,17767,13,14,0,0,0,0,107556822,111701350,37103893,34919007,29660000,40084580,88147641,22729423,22729423,3338278,3428720
Sun Apr 30 21:34:00 UTC 2017,768,1222344704,15462723,59,26595328,163736.953125,133,881078272,34863.58203125,146,125,1125044224,1138483200,3220261.5,,0.103000000119209,0.118749998509884,0.165500000119209,0.368999987840652,0.929425597190857,400,16273,16314,4,5,0,0,0,0,79162939,89930536,18310029,21118095,19345320,20626314,67301467,13802361,13802361,2557375,2492534
Sun Apr 30 21:33:00 UTC 2017,753,1222569984,14669123,57,28004352,156676.15625,134,880877568,35067.53515625,140,122,1126039552,1138630656,3220261.5,,0.094999998807907,0.117250002920628,0.159999996423721,0.362250000238419,0.927371144294739,350,14890,14918,3,4,0,0,0,0,69248343,70459737,11290157,15042981,13034619,10173241,57670876,11981483,11981483,2420864,2390812
Sun Apr 30 21:32:00 UTC 2017,714,1222500352,13655829,53,27992064,145373.875,130,880513024,30534.96484375,128,113,1126125568,1138524160,2926138.25,,0.083999998867512,0.109750002622604,0.150999993085861,0.348749995231628,0.927156865596771,350,13485,13513,3,4,0,0,0,0,66729838,68968444,15443053,13773143,12643088,12982801,53090039,10804510,10804510,2145154,2547717
Sun Apr 30 21:31:00 UTC 2017,672,1222365184,11535783,52,27258880,142518.203125,128,880275456,30280.810546875,125,111,1126215680,1138614272,2840002.75,,0.096000000834465,0.11599999666214,0.163249999284744,0.332500010728836,0.927983224391937,350,12221,12252,0,0,0,0,0,0,63197526,65181118,11368162,8562057,13751388,13738669,50552649,9960091,9960091,2202950,2227586
Sun Apr 30 21:30:00 UTC 2017,661,1222803456,11535783,47,26480640,134886.984375,125,879980544,30870.662109375,116,107,1126367232,1138577408,2233315,,0.083250001072884,0.104500003159046,0.151999995112419,0.322499990463257,0.926910221576691,300,11035,11061,0,0,0,0,0,0,51025113,46624694,5166276,4823691,5335576,4898622,37259832,8162950,8162950,2098714,2284473
Sun Apr 30 21:29:00 UTC 2017,605,1222950912,11535783,44,26480640,121491.703125,113,879583232,25743.720703125,103,99,1125298176,1138663424,2233315,,0.093500003218651,0.103749997913837,0.130999997258186,0.300500005483627,0.926839292049408,300,9847,9858,0,0,0,0,0,0,52135010,46372251,6044146,6388057,6961620,5156306,38846573,8423760,8423760,2071092,1970679
Sun Apr 30 21:28:00 UTC 2017,570,1222815744,10960071,43,26439680,117608.9609375,111,879349760,25743.720703125,100,96,1126567936,1138749440,2233315,,0.082249999046326,0.109499998390675,0.137250006198883,0.281749993562698,0.927926003932953,300,8765,8785,0,0,0,0,0,0,46086274,43944085,4759355,5032791,5806136,5324763,34894724,7472321,7472321,1787531,1804899
Sun Apr 30 21:27:00 UTC 2017,547,1223294976,9989241,39,26374144,107387.3828125,103,879247360,25743.720703125,94,89,1126588416,1138864128,2039876.5,,0.081000000238419,0.099500000476837,0.129999995231628,0.279249995946884,0.926786482334137,250,7785,7791,0,0,0,0,0,0,42598024,39777925,4772860,4200313,4852179,5120417,31363673,6942801,6942801,1819523,2190665
Sun Apr 30 21:26:00 UTC 2017,499,1223274496,8633823,35,25739264,24634.978515625,94,879128576,21452.4453125,87,73,1127755776,1139036160,1327281.625,,0.090000003576279,0.094250001013279,0.116750001907349,0.255499988794327,0.926750242710114,250,6787,6809,0,0,0,0,0,0,41541297,39474570,4977351,5286193,4382301,4781716,31353851,7033730,7033730,1925493,1904927
Sun Apr 30 21:25:00 UTC 2017,454,1222488064,8633823,34,25735168,24634.978515625,118,878764032,21452.4453125,82,75,1126850560,1139122176,1327281.625,,0.104000002145767,0.097000002861023,0.127749994397163,0.248500004410744,0.926536440849304,250,5926,5918,0,0,0,0,0,0,43895473,36261609,4338134,4262822,4769701,4301536,30137358,6384125,6384125,1615788,1549833
Sun Apr 30 21:24:00 UTC 2017,437,1223618560,7743100,32,26423296,24634.978515625,93,878407680,17433.8984375,75,71,1127931904,1139478528,1327281.625,,0.076250001788139,0.09375,0.142499998211861,0.228000000119209,0.926319181919098,200,5130,5130,0,0,0,0,0,0,48856510,35271152,4508192,4667589,5972562,4058319,31837726,6793240,6793240,1724972,1574520
Sun Apr 30 21:23:00 UTC 2017,403,1223356416,6229171,26,25624576,24634.978515625,72,878272512,17433.8984375,59,60,1127018496,1139048448,1327281.625,,0.076750002801418,0.092249996960163,0.103500001132488,0.20550000667572,0.926132798194885,200,4332,4323,0,0,0,0,0,0,43131838,35730402,4317176,5496228,4781511,4588822,29583982,6242594,6242594,1547381,1688634
Sun Apr 30 21:22:00 UTC 2017,332,1223081984,6229171,25,25624576,24634.978515625,75,878153728,16594.1484375,58,59,1127100416,1139077120,1078163.875,,0.079750001430512,0.080750003457069,0.101999998092651,0.194749996066093,0.926711142063141,200,3663,3642,0,0,0,0,0,0,39636405,34339311,5328424,3987471,4757591,3786153,28499180,5908736,5908736,1597509,1980121
Sun Apr 30 21:21:00 UTC 2017,319,1223135232,2219661.5,22,25612288,24634.978515625,71,878014464,16594.1484375,55,53,1128243200,1139347456,1078163.875,,0.078749999403954,0.08924999833107,0.096749998629093,0.18299999833107,0.925650358200073,150,3070,3045,0,0,0,0,0,0,42860395,33262618,28464715,5504085,5961216,4405928,27659763,5774169,5774169,1976279,1703895
