_DATE	host	cpuusage	memusage	nodecpu	locustusers	
2017-03-13-00:50:00	edge-sjsht	10.0	1.049751552E9	0.08900000154972076	0.0	
2017-03-13-00:50:00	edge-sjsht	10.0	1.049751552E9	0.08900000154972076	0.0	
2017-03-13-00:49:00	edge-sjsht	128.0	1.049706496E9	0.08649999648332596	0.0	
2017-03-13-00:49:00	edge-sjsht	128.0	1.049706496E9	0.08649999648332596	0.0	
2017-03-13-00:48:00	edge-sjsht	124.0	1.049706496E9	0.0925000011920929	300.0	
2017-03-13-00:48:00	edge-sjsht	124.0	1.049706496E9	0.0925000011920929	300.0	
2017-03-13-00:47:00	edge-sjsht	146.0	1.04982528E9	0.09624999761581421	300.0	
2017-03-13-00:47:00	edge-sjsht	146.0	1.04982528E9	0.09624999761581421	300.0	
2017-03-13-00:46:00	edge-sjsht	136.0	1.049001984E9	0.10100000351667404	350.0	
2017-03-13-00:46:00	edge-sjsht	136.0	1.049001984E9	0.10100000351667404	350.0	
2017-03-13-00:45:00	edge-sjsht	148.0	1.04644608E9	0.09574999660253525	350.0	
2017-03-13-00:45:00	edge-sjsht	148.0	1.04644608E9	0.09574999660253525	350.0	
2017-03-13-00:44:00	edge-sjsht	131.0	1.033015296E9	0.10350000113248825	400.0	
2017-03-13-00:44:00	edge-sjsht	131.0	1.033015296E9	0.10350000113248825	400.0	
2017-03-13-00:43:00	edge-sjsht	93.0	1.030496256E9	0.08275000005960464	400.0	
2017-03-13-00:43:00	edge-sjsht	93.0	1.030496256E9	0.08275000005960464	400.0	
2017-03-13-00:42:00	edge-sjsht	78.0	1.020547072E9	0.05700000002980232	250.0	
2017-03-13-00:42:00	edge-sjsht	78.0	1.020547072E9	0.05700000002980232	250.0	
2017-03-13-00:41:00	edge-sjsht	44.0	1.02066176E9	0.0625	250.0	
2017-03-13-00:41:00	edge-sjsht	44.0	1.02066176E9	0.0625	250.0	
2017-03-13-00:40:00	edge-sjsht	48.0	1.019068416E9	0.09049999713897705	100.0	
2017-03-13-00:40:00	edge-sjsht	48.0	1.019068416E9	0.09049999713897705	100.0	
2017-03-13-00:39:00	edge-sjsht	122.0	1.004437504E9	0.09350000321865082	100.0	
2017-03-13-00:39:00	edge-sjsht	122.0	1.004437504E9	0.09350000321865082	100.0	
2017-03-13-00:38:00	edge-sjsht	126.0	9.94275328E8	0.0729999989271164	350.0	
2017-03-13-00:38:00	edge-sjsht	126.0	9.94275328E8	0.0729999989271164	350.0	
2017-03-13-00:37:00	edge-sjsht	92.0	9.84236032E8	0.07850000262260437	350.0	
2017-03-13-00:37:00	edge-sjsht	92.0	9.84236032E8	0.07850000262260437	350.0	
2017-03-13-00:36:00	edge-sjsht	87.0	9.76007168E8	0.09300000220537186	200.0	
2017-03-13-00:36:00	edge-sjsht	87.0	9.76007168E8	0.09300000220537186	200.0	
2017-03-13-00:35:00	edge-sjsht	131.0	9.64943872E8	0.08675000071525574	200.0	
2017-03-13-00:35:00	edge-sjsht	131.0	9.64943872E8	0.08675000071525574	200.0	
2017-03-13-00:34:00	edge-sjsht	129.0	9.50071296E8	0.10050000250339508	300.0	
2017-03-13-00:34:00	edge-sjsht	129.0	9.50071296E8	0.10050000250339508	300.0	
2017-03-13-00:33:00	edge-sjsht	154.0	9.36595456E8	0.12224999815225601	300.0	
2017-03-13-00:33:00	edge-sjsht	154.0	9.36595456E8	0.12224999815225601	300.0	
