('profile: ', [(0, 3), (29, 3), (72, 3), (141, 3), (183, 3), (169, 3), (182, 3), (232, 3), (233, 3), (318, 3), (374, 3), (439, 3), (481, 3), (543, 3), (584, 3), (600, 3)])
('2017-05-12 19:35:54', 1494617754, 'Users=', 0, 'Duration=', 3, 'min')
('2017-05-12 19:38:54', 1494617934, 'Users=', 29, 'Duration=', 3, 'min')
('2017-05-12 19:41:54', 1494618114, 'Users=', 72, 'Duration=', 3, 'min')
('2017-05-12 19:44:54', 1494618294, 'Users=', 141, 'Duration=', 3, 'min')
('2017-05-12 19:47:54', 1494618474, 'Users=', 183, 'Duration=', 3, 'min')
('2017-05-12 19:50:54', 1494618654, 'Users=', 169, 'Duration=', 3, 'min')
('2017-05-12 19:53:54', 1494618834, 'Users=', 182, 'Duration=', 3, 'min')
('2017-05-12 19:56:54', 1494619014, 'Users=', 232, 'Duration=', 3, 'min')
('2017-05-12 19:59:54', 1494619194, 'Users=', 233, 'Duration=', 3, 'min')
('2017-05-12 20:02:54', 1494619374, 'Users=', 318, 'Duration=', 3, 'min')
('2017-05-12 20:05:54', 1494619554, 'Users=', 374, 'Duration=', 3, 'min')
('2017-05-12 20:08:55', 1494619735, 'Users=', 439, 'Duration=', 3, 'min')
('2017-05-12 20:11:55', 1494619915, 'Users=', 481, 'Duration=', 3, 'min')
('2017-05-12 20:14:55', 1494620095, 'Users=', 543, 'Duration=', 3, 'min')
('2017-05-12 20:17:55', 1494620275, 'Users=', 584, 'Duration=', 3, 'min')
('2017-05-12 20:20:55', 1494620455, 'Users=', 600, 'Duration=', 3, 'min')
