cpuusage_middle
1
1
3
3
7
7
8
8
13
13
16
16
18
18
22
22
27
27
31
31
39
39
52
52
57
57
86
86
128
128
148
148
180
180
267
267
269
269
261
261
325
325
348
348
354
354
380
380
389
389
397
397
416
416
407
407
400
400
404
404
404
404
410
410
406
406
424
424
394
394
403
403
413
413
413
413
400
400
402
402
401
401
400
400
400
400
