_DATE host cpuusage memusage 
2017-03-11-18:48:00 middletier-2vpks 1.0 1.063538688E9 
2017-03-11-18:48:00 middletier-2vpks 1.0 1.063538688E9 
2017-03-11-18:47:00 middletier-2vpks 1.0 1.063538688E9 
2017-03-11-18:47:00 middletier-2vpks 1.0 1.063538688E9 
2017-03-11-18:46:00 middletier-2vpks 1.0 1.063538688E9 
2017-03-11-18:46:00 middletier-2vpks 1.0 1.063538688E9 
2017-03-11-18:45:00 middletier-2vpks 1.0 1.062535168E9 
2017-03-11-18:45:00 middletier-2vpks 1.0 1.062535168E9 
2017-03-11-18:44:00 middletier-2vpks 1.0 1.062535168E9 
2017-03-11-18:44:00 middletier-2vpks 1.0 1.062535168E9 
2017-03-11-18:43:00 middletier-2vpks 905.0 1.064206336E9 
2017-03-11-18:43:00 middletier-2vpks 905.0 1.064206336E9 
2017-03-11-18:42:00 middletier-2vpks 925.0 1.062772736E9 
2017-03-11-18:42:00 middletier-2vpks 925.0 1.062772736E9 
2017-03-11-18:41:00 middletier-2vpks 888.0 1.06287104E9 
2017-03-11-18:41:00 middletier-2vpks 888.0 1.06287104E9 
2017-03-11-18:40:00 middletier-2vpks 818.0 1.063108608E9 
2017-03-11-18:40:00 middletier-2vpks 818.0 1.063108608E9 
2017-03-11-18:39:00 middletier-2vpks 814.0 1.064005632E9 
2017-03-11-18:39:00 middletier-2vpks 814.0 1.064005632E9 
2017-03-11-18:38:00 middletier-2vpks 793.0 1.06258432E9 
2017-03-11-18:38:00 middletier-2vpks 793.0 1.06258432E9 
2017-03-11-18:37:00 middletier-2vpks 716.0 1.064624128E9 
2017-03-11-18:37:00 middletier-2vpks 716.0 1.064624128E9 
2017-03-11-18:36:00 middletier-2vpks 694.0 1.064681472E9 
2017-03-11-18:36:00 middletier-2vpks 694.0 1.064681472E9 
2017-03-11-18:35:00 middletier-2vpks 672.0 1.063952384E9 
2017-03-11-18:35:00 middletier-2vpks 672.0 1.063952384E9 
2017-03-11-18:34:00 middletier-2vpks 590.0 1.064484864E9 
2017-03-11-18:34:00 middletier-2vpks 590.0 1.064484864E9 
2017-03-11-18:33:00 middletier-2vpks 574.0 1.063620608E9 
2017-03-11-18:33:00 middletier-2vpks 574.0 1.063620608E9 
2017-03-11-18:32:00 middletier-2vpks 530.0 1.063862272E9 
2017-03-11-18:32:00 middletier-2vpks 530.0 1.063862272E9 
2017-03-11-18:31:00 middletier-2vpks 473.0 1.063563264E9 
2017-03-11-18:31:00 middletier-2vpks 473.0 1.063563264E9 
2017-03-11-18:30:00 middletier-2vpks 458.0 1.063579648E9 
2017-03-11-18:30:00 middletier-2vpks 458.0 1.063579648E9 
2017-03-11-18:29:00 middletier-2vpks 399.0 1.063268352E9 
2017-03-11-18:29:00 middletier-2vpks 399.0 1.063268352E9 
2017-03-11-18:28:00 middletier-2vpks 348.0 1.064034304E9 
2017-03-11-18:28:00 middletier-2vpks 348.0 1.064034304E9 
2017-03-11-18:27:00 middletier-2vpks 335.0 1.063575552E9 
2017-03-11-18:27:00 middletier-2vpks 335.0 1.063575552E9 
2017-03-11-18:26:00 middletier-2vpks 288.0 1.063317504E9 
2017-03-11-18:26:00 middletier-2vpks 288.0 1.063317504E9 
2017-03-11-18:25:00 middletier-2vpks 223.0 1.06432512E9 
2017-03-11-18:25:00 middletier-2vpks 223.0 1.06432512E9 
2017-03-11-18:24:00 middletier-2vpks 221.0 1.06397696E9 
2017-03-11-18:24:00 middletier-2vpks 221.0 1.06397696E9 
2017-03-11-18:23:00 middletier-2vpks 192.0 1.06346496E9 
2017-03-11-18:23:00 middletier-2vpks 192.0 1.06346496E9 
2017-03-11-18:22:00 middletier-2vpks 123.0 1.062526976E9 
2017-03-11-18:22:00 middletier-2vpks 123.0 1.062526976E9 
